"sr_num","service_type","days_to_service"
"193995",Tree Trim,75
"194012",Tree Removal,53
"194004",Tree Removal,63
"193732",Tree Removal,51
"193956",Tree Trim,75
"193917",Tree Trim,75
"193925",Tree Trim,75
"193975",Tree Removal,51
"194057",Tree Removal,51
"192167",Tree Removal,51
"194064",Tree Removal,51
"194060",Tree Removal,51
"194036",Tree Removal,51
"193968",Tree Trim,75
"194000",Tree Trim,75
"194087",Tree Removal,51
"194021",Tree Trim,82
"194096",Tree Removal,51
"194069",Tree Removal,51
"194085",Tree Trim,75
"194075",Tree Trim,75
"194070",Tree Removal,51
"194076",Tree Trim,75
"194114",Tree Trim,75
"194107",Tree Removal,51
"194119",Tree Removal,51
"194032",Tree Removal,51
"194062",Tree Trim,75
"194108",Tree Trim,75
"193939",Tree Removal,54
"192134",Tree Removal,51
"194130",Tree Removal,51
"193946",Tree Removal,51
"194088",Tree Removal,51
"189873",Tree Removal,51
"192632",Tree Trim,75
"194137",Tree Removal,51
"192919",Tree Removal,51
"193865",Tree Trim,75
"193380",Tree Trim,75
"194115",Tree Trim,75
"194105",Tree Trim,75
"193740",Tree Trim,75
"193826",Tree Trim,75
"193730",Tree Removal,51
"193927",Tree Trim,75
"191930",Tree Trim,75
"192889",Tree Removal,51
"194163",Tree Removal,51
"192682",Tree Removal,51
"194142",Tree Trim,76
"194135",Tree Removal,51
"194154",Tree Removal,51
"194156",Tree Removal,51
"193451",Tree Removal,51
"194089",Tree Trim,75
"194150",Tree Trim,75
"194155",Tree Trim,75
"194095",Tree Trim,75
"193932",Tree Removal,51
"192803",Tree Removal,51
"193576",Tree Trim,75
"192391",Tree Trim,75
"192398",Tree Trim,75
"194024",Tree Trim,75
"192452",Tree Removal,51
"192399",Tree Trim,75
"193216",Tree Removal,51
"192401",Tree Trim,75
"192403",Tree Trim,75
"193936",Tree Trim,78
"193976",Tree Trim,75
"193650",Tree Removal,51
"193666",Tree Trim,75
"193142",Tree Removal,51
"194197",Tree Removal,51
"193836",Tree Trim,75
"193583",Tree Trim,75
"193263",Tree Removal,51
"194210",Tree Removal,51
"191841",Tree Trim,75
"194186",Tree Trim,75
"193632",Tree Removal,51
"192360",Tree Trim,75
"194164",Tree Removal,51
"194033",Tree Removal,51
"194166",Tree Trim,75
"194188",Tree Trim,75
"194207",Tree Removal,51
"194214",Tree Removal,51
"194117",Tree Removal,51
"194094",Tree Trim,75
"194077",Tree Removal,51
"194209",Tree Removal,51
,Tree Removal,
"194168",Tree Trim,75
"194136",Tree Removal,51
"192854",Tree Removal,51
"193835",Tree Removal,51
"193689",Tree Removal,51
"191233",Tree Stump Grinding,116
"194158",Tree Removal,51
"193914",Tree Removal,51
"194198",Tree Stump Grinding,116
"193218",Tree Trim,287
"193966",Tree Trim,76
"193561",Tree Removal,51
"194230",Tree Removal,51
"193453",Tree Removal,51
"194238",Tree Trim,75
"194217",Tree Removal,51
"194143",Tree Trim,75
"194215",Tree Removal,51
"194118",Tree Stump Grinding,116
"194144",Tree Removal,51
"194030",Tree Removal,51
"193443",Tree Removal,51
"194157",Tree Trim,75
"194221",Tree Removal,51
"194097",Tree Trim,75
"194250",Tree Removal,51
"194134",Tree Trim,75
"194068",Tree Trim,75
"194231",Tree Trim,75
"194128",Tree Trim,75
"194080",Tree Trim,75
"194058",Tree Trim,75
"194083",Tree Removal,51
"194133",Tree Removal,51
"193110",Tree Trim,75
"194236",Tree Removal,51
"193081",Tree Removal,51
"193969",Tree Removal,51
"192964",Tree Trim,75
"194153",Tree Trim,75
"192968",Tree Trim,75
"192881",Tree Removal,51
"192741",Tree Removal,51
"193455",Tree Removal,51
"193175",Tree Trim,75
"194251",Tree Removal,51
"192749",Tree Trim,75
"194294",Tree Removal,51
"193153",Tree Removal,51
"194193",Tree Trim,75
"193963",Tree Trim,75
"194279",Tree Removal,51
"194056",Tree Removal,51
"192932",Tree Removal,51
"194241",Tree Trim,75
"192873",Tree Trim,75
"194181",Tree Removal,51
"193472",Tree Trim,75
"192925",Tree Trim,75
"194239",Tree Removal,51
"193283",Tree Removal,51
"193928",Tree Removal,51
"193640",Tree Removal,51
"193420",Tree Removal,51
"194005",Tree Trim,75
"193346",Tree Trim,75
"193747",Tree Trim,75
"193749",Tree Trim,75
"194290",Tree Trim,75
,Tree Code Violation,
"194299",Tree Trim,75
"193748",Tree Trim,75
"193470",Tree Removal,51
"193653",Tree Removal,51
"194259",Tree Trim,75
"193958",Tree Trim,75
"194257",Tree Removal,51
"194237",Tree Removal,51
"194222",Tree Removal,51
"194263",Tree Removal,51
"193741",Tree Removal,51
"194073",Tree Trim,75
"194247",Tree Trim,75
"193776",Tree Trim,75
"193948",Tree Trim,75
"194308",Tree Removal,51
"194321",Tree Removal,51
"194284",Tree Trim,75
"194307",Tree Stump Grinding,116
"194306",Tree Trim,75
"194102",Tree Removal,51
"193414",Tree Removal,51
"194124",Tree Trim,75
"193113",Tree Trim,75
"193114",Tree Trim,75
"194399",Tree Trim,75
"193937",Tree Trim,79
"193115",Tree Trim,75
"194289",Tree Trim,75
"195208",Tree Trim,75
"193873",Tree Trim,75
"194248",Tree Removal,51
"194288",Tree Trim,75
"193769",Tree Trim,75
"192123",Tree Trim,75
"194270",Tree Removal,51
"194309",Tree Trim,75
"194291",Tree Trim,75
"194228",Tree Trim,75
"193086",Tree Trim,75
"193087",Tree Trim,75
"193670",Tree Removal,51
"193049",Tree Trim,75
"193659",Tree Trim,75
"194344",Tree Removal,51
"194322",Tree Trim,75
"193974",Tree Trim,75
,Tree Code Violation,
"194104",Tree Removal,51
"194252",Tree Removal,51
"194100",Tree Trim,75
"193841",Tree Removal,51
"194177",Tree Removal,51
"194333",Tree Removal,51
"193991",Tree Removal,51
"194338",Tree Removal,51
"193755",Tree Trim,75
"194332",Tree Trim,75
"193753",Tree Trim,75
"193761",Tree Trim,75
"194339",Tree Trim,75
"193322",Tree Trim,75
"193759",Tree Trim,75
"193766",Tree Trim,75
"194009",Tree Removal,51
"193942",Tree Removal,53
"194362",Tree Removal,51
"193855",Tree Trim,75
"194254",Tree Removal,51
"194370",Tree Trim,75
,Tree Code Violation,
"194345",Tree Trim,75
"193743",Tree Trim,75
"193905",Tree Removal,51
"194132",Tree Removal,51
"194373",Tree Trim,75
"194401",Tree Removal,51
"194016",Tree Trim,75
"194020",Tree Trim,75
"194395",Tree Removal,51
"193537",Tree Removal,51
"194389",Tree Trim,75
"194342",Tree Removal,51
"194381",Tree Removal,51
"194382",Tree Trim,75
"194325",Tree Trim,75
"194398",Tree Removal,51
"193994",Tree Trim,75
"194354",Tree Removal,51
"194412",Tree Trim,75
"194384",Tree Removal,51
"194426",Tree Trim,75
"193971",Tree Removal,51
"194415",Tree Trim,75
,Tree Removal,
"194376",Tree Trim,75
"194454",Tree Removal,51
"194343",Tree Trim,75
"193806",Tree Trim,75
"194169",Tree Trim,75
"194091",Tree Trim,75
"194445",Tree Trim,75
"194065",Tree Trim,75
"194458",Tree Removal,51
"194459",Tree Trim,75
"194357",Tree Trim,75
"194428",Tree Removal,51
"194446",Tree Trim,75
"194098",Tree Trim,75
"194464",Tree Removal,51
"194274",Tree Trim,75
"194452",Tree Removal,51
"194131",Tree Removal,51
"194352",Tree Trim,75
"194421",Tree Trim,75
"194380",Tree Trim,75
"194363",Tree Trim,75
"194312",Tree Trim,75
"194460",Tree Removal,51
"194431",Tree Trim,75
"194441",Tree Trim,75
"194019",Tree Trim,75
"190426",Tree Removal,51
"194479",Tree Removal,51
"194461",Tree Removal,51
"194440",Tree Trim,75
"194443",Tree Trim,75
"194375",Tree Trim,75
"194467",Tree Trim,83
"194424",Tree Removal,51
"194492",Tree Trim,75
"194498",Tree Removal,51
"194276",Tree Trim,75
"194434",Tree Trim,75
"194364",Tree Trim,75
"193953",Tree Trim,75
"193486",Tree Removal,51
"194465",Tree Trim,76
"194449",Tree Trim,75
"194471",Tree Removal,51
"194432",Tree Removal,51
"194218",Tree Trim,75
"193665",Tree Removal,51
"193154",Tree Removal,51
"194410",Tree Trim,75
"194514",Tree Removal,51
"194507",Tree Removal,51
"194504",Tree Trim,75
"194532",Tree Removal,51
"194524",Tree Trim,75
"194502",Tree Removal,51
"194520",Tree Trim,75
"194390",Tree Trim,75
"194015",Tree Trim,75
"194508",Tree Trim,75
"194422",Tree Removal,51
"194418",Tree Removal,51
"194372",Tree Removal,51
"194359",Tree Removal,51
"194495",Tree Trim,75
"194437",Tree Trim,75
"194515",Tree Trim,75
"194564",Tree Removal,51
"194557",Tree Removal,51
"194569",Tree Removal,51
,Tree Removal,
"194565",Tree Removal,51
"194531",Tree Removal,52
"194535",Tree Trim,75
"194541",Tree Trim,75
"194490",Tree Removal,51
"194503",Tree Removal,51
"194497",Tree Trim,75
"194527",Tree Removal,51
"194583",Tree Trim,75
"194587",Tree Trim,75
"194579",Tree Trim,75
"194585",Tree Trim,75
"194386",Tree Trim,75
"194500",Tree Trim,75
"194548",Tree Trim,75
"194327",Tree Trim,75
"194560",Tree Removal,51
"194577",Tree Removal,51
"194472",Tree Trim,75
"194588",Tree Removal,51
"194614",Tree Removal,51
"194570",Tree Trim,75
"194626",Tree Removal,51
"194634",Tree Removal,51
"194623",Tree Trim,75
"194617",Tree Removal,51
"194630",Tree Trim,75
"194624",Tree Removal,51
"194621",Tree Removal,51
"194631",Tree Trim,75
"194619",Tree Trim,75
"194353",Tree Trim,75
"194639",Tree Removal,51
"194644",Tree Removal,51
"194638",Tree Trim,75
"194558",Tree Trim,75
"194616",Tree Trim,75
"194542",Tree Removal,51
"194632",Tree Trim,75
"194608",Tree Trim,75
"194591",Tree Trim,75
"193950",Tree Trim,75
"194661",Tree Trim,75
"194685",Tree Trim,75
"194681",Tree Trim,75
"194593",Tree Trim,75
,Tree Trim,
"194675",Tree Trim,75
"194666",Tree Removal,51
"194670",Tree Removal,51
"194655",Tree Removal,51
"194689",Tree Removal,51
"194692",Tree Trim,75
"194657",Tree Trim,75
"194678",Tree Trim,75
"194667",Tree Removal,51
"194704",Tree Removal,51
"194695",Tree Removal,51
"194713",Tree Removal,51
"194717",Tree Removal,51
"194650",Tree Trim,75
"194725",Tree Removal,51
"194712",Tree Removal,51
"194705",Tree Removal,51
"194731",Tree Trim,75
"194668",Tree Trim,75
"194732",Tree Removal,51
"194743",Tree Trim,75
,Tree Removal,
"194698",Tree Trim,75
"194720",Tree Trim,75
"194707",Tree Removal,51
"194726",Tree Removal,51
"194589",Tree Removal,51
"194739",Tree Removal,51
"194710",Tree Removal,51
"194752",Tree Trim,75
"194769",Tree Removal,51
"194763",Tree Removal,51
"194773",Tree Trim,75
"194759",Tree Removal,51
"194764",Tree Removal,51
"194761",Tree Removal,51
"194777",Tree Trim,75
"194760",Tree Trim,75
"194749",Tree Removal,51
"194758",Tree Trim,75
"194737",Tree Removal,51
"194774",Tree Removal,51
"194775",Tree Trim,75
"194766",Tree Removal,51
"194755",Tree Removal,51
"194770",Tree Trim,75
"194767",Tree Trim,75
"194723",Tree Removal,51
"194750",Tree Trim,75
"194747",Tree Trim,75
"194785",Tree Trim,75
"194795",Tree Trim,75
"194789",Tree Removal,51
"194800",Tree Removal,51
"194658",Tree Removal,51
"194812",Tree Removal,51
"194042",Tree Trim,75
"194665",Tree Trim,75
"194780",Tree Trim,75
"194827",Tree Removal,51
"194791",Tree Removal,51
"194801",Tree Removal,51
"194803",Tree Trim,75
"194787",Tree Trim,75
"194807",Tree Removal,51
"194798",Tree Trim,75
"194825",Tree Removal,51
"194844",Tree Removal,51
"194840",Tree Removal,51
"194853",Tree Removal,51
"194811",Tree Trim,75
"194831",Tree Removal,51
"194847",Tree Removal,51
"194860",Tree Removal,51
"194850",Tree Removal,51
"194866",Tree Removal,51
"194870",Tree Removal,51
"194851",Tree Removal,51
"194867",Tree Removal,51
"194843",Tree Removal,51
"194863",Tree Removal,51
"194874",Tree Removal,51
"194911",Tree Trim,75
"194842",Tree Removal,51
"194841",Tree Removal,51
"194856",Tree Removal,51
"194861",Tree Removal,51
"194822",Tree Removal,172
"194834",Tree Removal,51
"194888",Tree Removal,51
"194891",Tree Removal,51
"194819",Tree Trim,75
"194865",Tree Removal,51
"194835",Tree Trim,75
"194824",Tree Removal,51
"194875",Tree Trim,75
"194876",Tree Trim,75
"194889",Tree Trim,75
"194882",Tree Removal,51
"194900",Tree Removal,51
"194925",Tree Removal,51
"194893",Tree Removal,51
"194923",Tree Removal,51
"194928",Tree Trim,75
"194808",Tree Trim,75
"194914",Tree Removal,51
"194927",Tree Trim,75
"194823",Tree Trim,75
"194833",Tree Trim,75
"194924",Tree Removal,51
"194912",Tree Trim,75
"194873",Tree Trim,75
"194880",Tree Removal,51
"194918",Tree Trim,75
"194958",Tree Removal,51
"194969",Tree Removal,51
"194960",Tree Trim,75
,Tree Removal,
"194963",Tree Removal,51
"194913",Tree Trim,75
"194974",Tree Trim,75
"194970",Tree Removal,51
"194950",Tree Removal,51
"194916",Tree Trim,75
"194965",Tree Trim,75
"194995",Tree Trim,75
"194979",Tree Trim,75
"194968",Tree Removal,51
"194943",Tree Removal,51
"194906",Tree Trim,75
"194956",Tree Trim,75
"194930",Tree Trim,75
"195017",Tree Removal,51
"194978",Tree Removal,51
"194955",Tree Trim,75
"195010",Tree Trim,75
"195015",Tree Trim,75
"194973",Tree Trim,75
"194934",Tree Removal,51
"194957",Tree Trim,75
"194820",Tree Removal,51
"194988",Tree Removal,51
"194996",Tree Removal,51
"194903",Tree Removal,51
"195032",Tree Removal,51
"195000",Tree Removal,51
"195041",Tree Removal,51
"195039",Tree Removal,51
"195043",Tree Trim,75
"195016",Tree Removal,51
"195024",Tree Trim,75
"194954",Tree Removal,51
"195019",Tree Removal,51
"195042",Tree Removal,51
"194991",Tree Removal,51
"195040",Tree Removal,51
"194999",Tree Removal,51
"194935",Tree Trim,75
"194983",Tree Removal,51
"194990",Tree Trim,75
"194895",Tree Trim,75
"194894",Tree Trim,75
"194926",Tree Removal,51
"195067",Tree Trim,75
"194474",Tree Trim,75
"194929",Tree Removal,51
"194804",Tree Planting,25
"194942",Tree Removal,51
"195075",Tree Trim,75
"194890",Tree Trim,75
"195144",Tree Removal,51
"194977",Tree Trim,75
"195124",Tree Removal,51
"195132",Tree Removal,51
"195170",Tree Removal,51
"195138",Tree Trim,75
"195149",Tree Trim,75
"194993",Tree Trim,75
"195047",Tree Trim,75
"195155",Tree Trim,75
"194971",Tree Trim,75
"195159",Tree Removal,51
"195116",Tree Trim,75
"195097",Tree Removal,51
"195062",Tree Trim,75
"195101",Tree Removal,51
"195077",Tree Trim,75
"195100",Tree Removal,51
"195137",Tree Trim,75
,Tree Trim,
"195151",Tree Removal,51
"195187",Tree Removal,51
"195135",Tree Removal,51
"195052",Tree Trim,75
"195203",Tree Removal,51
"195113",Tree Removal,51
"195160",Tree Trim,75
"195120",Tree Removal,51
"195117",Tree Trim,75
"195178",Tree Removal,51
"195204",Tree Removal,51
"195219",Tree Removal,51
"195199",Tree Removal,51
"195214",Tree Removal,51
"195198",Tree Removal,51
"195210",Tree Removal,51
"195102",Tree Trim,75
"195104",Tree Removal,51
"195003",Tree Removal,55
"195106",Tree Trim,75
"194994",Tree Trim,75
"194972",Tree Trim,75
"195134",Tree Removal,51
"195126",Tree Trim,75
"195191",Tree Removal,51
"195150",Tree Trim,75
"195008",Tree Trim,75
"195186",Tree Trim,75
"195222",Tree Removal,51
"195220",Tree Removal,51
"195237",Tree Removal,51
"195248",Tree Trim,75
"195234",Tree Trim,75
"195136",Tree Removal,51
"195129",Tree Removal,51
"195229",Tree Trim,75
"194976",Tree Removal,51
"195232",Tree Trim,75
"195141",Tree Trim,75
"195241",Tree Removal,51
"195280",Tree Trim,75
"195250",Tree Removal,51
"195216",Tree Trim,75
"195281",Tree Removal,51
"195239",Tree Trim,75
"195165",Tree Trim,75
"195238",Tree Removal,51
"195081",Tree Removal,51
"195271",Tree Trim,75
"194864",Tree Trim,75
"195192",Tree Trim,75
"194959",Tree Removal,51
"195256",Tree Trim,75
"195236",Tree Trim,75
"195123",Tree Trim,75
"195211",Tree Trim,75
"195278",Tree Removal,51
"195273",Tree Removal,51
"195212",Tree Removal,51
"195182",Tree Trim,75
"195228",Tree Removal,51
"195205",Tree Trim,75
"195058",Tree Trim,75
"195309",Tree Removal,51
"195282",Tree Trim,75
"195312",Tree Removal,51
"195323",Tree Removal,51
"194335",Tree Trim,75
"195247",Tree Trim,75
"195154",Tree Trim,75
"195300",Tree Removal,51
"195324",Tree Trim,75
"194992",Tree Trim,75
"195296",Tree Trim,75
"195272",Tree Removal,52
"195284",Tree Trim,75
"195301",Tree Trim,75
"195345",Tree Removal,51
"195288",Tree Trim,75
"195291",Tree Trim,75
"195331",Tree Removal,52
"195338",Tree Trim,75
"195295",Tree Removal,51
"195353",Tree Trim,75
"195257",Tree Trim,75
"195349",Tree Trim,75
"195322",Tree Trim,75
"195344",Tree Trim,75
"195319",Tree Removal,51
"195347",Tree Removal,51
"195148",Tree Trim,75
"195330",Tree Trim,75
"195249",Tree Trim,75
,Tree Removal,
"195246",Tree Removal,51
"195076",Tree Trim,75
"195359",Tree Trim,75
"195351",Tree Removal,51
"195378",Tree Removal,51
"195379",Tree Trim,75
"195381",Tree Trim,75
"195404",Tree Trim,75
"195368",Tree Trim,75
"195163",Tree Trim,75
"195384",Tree Trim,75
"195362",Tree Trim,75
"195386",Tree Removal,51
"195380",Tree Trim,75
"195382",Tree Trim,75
"195226",Tree Removal,51
"195289",Tree Trim,75
"195370",Tree Removal,51
"195414",Tree Removal,51
"195020",Tree Removal,51
"195374",Tree Trim,75
"195395",Tree Trim,75
"195420",Tree Trim,75
"195287",Tree Trim,75
"195376",Tree Trim,75
"195377",Tree Trim,75
"195207",Tree Trim,75
"195392",Tree Trim,75
"195369",Tree Trim,75
"195348",Tree Trim,75
"195292",Tree Removal,51
"195329",Tree Planting,25
"195449",Tree Removal,51
"195196",Tree Trim,75
"195336",Tree Trim,75
"195417",Tree Trim,75
"195419",Tree Trim,75
"195437",Tree Removal,51
"195183",Tree Trim,75
"195413",Tree Trim,75
"195433",Tree Stump Grinding,116
"195434",Tree Trim,75
"195458",Tree Removal,51
"195327",Tree Trim,75
"195389",Tree Trim,75
,Tree Trim,
"195360",Tree Trim,75
"195408",Tree Removal,51
"195423",Tree Removal,51
"195415",Tree Trim,75
"195168",Tree Trim,75
"195460",Tree Code Violation,52
"195438",Tree Trim,75
"195462",Tree Removal,51
"195475",Tree Removal,51
"195474",Tree Trim,75
"195427",Tree Removal,51
"195422",Tree Trim,75
"195428",Tree Trim,75
"195398",Tree Trim,75
"195995",Tree Removal,51
"195472",Tree Trim,75
"195481",Tree Removal,51
"195545",Tree Removal,51
"195546",Tree Removal,51
"195547",Tree Trim,75
"195444",Tree Removal,51
"195540",Tree Removal,51
"195542",Tree Removal,51
"195510",Tree Removal,51
"195557",Tree Removal,51
"195508",Tree Trim,75
"195465",Tree Removal,51
"195539",Tree Stump Grinding,116
"195501",Tree Trim,75
"195543",Tree Removal,51
"195459",Tree Removal,51
"195538",Tree Removal,51
"195504",Tree Trim,75
"195525",Tree Removal,51
"195524",Tree Trim,75
"195576",Tree Removal,51
"195574",Tree Trim,75
"195583",Tree Trim,75
"195494",Tree Trim,75
"195598",Tree Removal,51
"195569",Tree Removal,51
"195505",Tree Trim,75
"195455",Tree Removal,51
"195573",Tree Trim,75
"195566",Tree Removal,51
"195466",Tree Trim,75
"195541",Tree Trim,75
"195526",Tree Trim,75
"195591",Tree Removal,51
"195014",Tree Trim,75
"195487",Tree Trim,75
"195235",Tree Removal,51
"195581",Tree Removal,51
"195561",Tree Trim,75
"195513",Tree Trim,75
"195580",Tree Removal,51
"195621",Tree Removal,51
"195807",Tree Removal,51
"195615",Tree Removal,51
"195568",Tree Trim,75
"195609",Tree Removal,51
"195520",Tree Trim,75
"195514",Tree Trim,75
"195601",Tree Removal,51
"195662",Tree Removal,51
"195626",Tree Removal,51
"195648",Tree Trim,75
"195548",Tree Removal,51
"195691",Tree Trim,75
"195689",Tree Trim,75
,Tree Code Violation,
"195683",Tree Trim,75
"195677",Tree Trim,75
"195670",Tree Trim,75
"195706",Tree Removal,51
"195730",Tree Trim,75
"195635",Tree Trim,75
"195616",Tree Trim,75
"195678",Tree Removal,51
"195521",Tree Trim,75
"195534",Tree Trim,75
"195639",Tree Trim,75
"195638",Tree Trim,75
"195754",Tree Removal,51
"195550",Tree Trim,75
"195764",Tree Removal,51
"195752",Tree Removal,51
"195765",Tree Removal,51
"195834",Tree Removal,51
"195746",Tree Removal,51
"195846",Tree Removal,51
"195738",Tree Removal,51
"195841",Tree Removal,51
,Tree Trim,
,Tree Removal,
"195768",Tree Removal,51
"195817",Tree Removal,51
"195798",Tree Removal,51
"195776",Tree Removal,51
"195818",Tree Trim,75
"195861",Tree Removal,51
"195849",Tree Removal,51
"195736",Tree Trim,75
"195803",Tree Removal,51
"195869",Tree Removal,51
"195854",Tree Removal,51
"195804",Tree Removal,51
"195690",Tree Trim,75
"195828",Tree Removal,51
"195850",Tree Removal,51
"195827",Tree Removal,51
"195860",Tree Trim,75
"195858",Tree Removal,51
"195835",Tree Removal,51
"195867",Tree Removal,51
"195826",Tree Removal,51
,Tree Removal,
"195890",Tree Removal,51
"195813",Tree Removal,51
"195747",Tree Trim,75
"195909",Tree Removal,51
"195882",Tree Trim,75
"195887",Tree Trim,75
"195588",Tree Removal,51
"195761",Tree Removal,51
"195930",Tree Removal,51
"195886",Tree Trim,75
"195888",Tree Removal,51
"195604",Tree Removal,51
"195926",Tree Removal,51
"195641",Tree Removal,51
"195936",Tree Removal,51
"195733",Tree Trim,75
"195953",Tree Removal,51
"195966",Tree Removal,51
"195915",Tree Removal,51
"195934",Tree Removal,51
"195949",Tree Removal,51
,Tree Trim,
,Tree Code Violation,
,Tree Code Violation,
"192354",Tree Trim,75
"195929",Tree Removal,51
"195999",Tree Removal,51
"195958",Tree Trim,75
"195720",Tree Removal,51
"195397",Tree Trim,75
"195498",Tree Trim,75
"195536",Tree Trim,75
"195967",Tree Trim,75
"195681",Tree Stump Grinding,116
"195942",Tree Trim,75
"195945",Tree Removal,51
"195696",Tree Trim,75
"195447",Tree Trim,75
"195780",Tree Trim,75
"195497",Tree Removal,51
"195788",Tree Removal,51
"195998",Tree Removal,51
"196007",Tree Removal,51
"195741",Tree Trim,75
"195742",Tree Trim,75
"196043",Tree Removal,51
"195743",Tree Trim,75
"195634",Tree Trim,75
"196025",Tree Removal,51
"193830",Tree Removal,51
"195922",Tree Trim,75
"195066",Tree Code Violation,52
"196013",Tree Removal,51
"195473",Tree Removal,51
"196036",Tree Removal,51
"195941",Tree Removal,51
"195792",Tree Removal,51
"196086",Tree Trim,75
"196066",Tree Removal,51
"196083",Tree Removal,51
"196088",Tree Removal,51
"195590",Tree Removal,51
"196085",Tree Trim,75
"195917",Tree Removal,51
"196279",Tree Removal,51
"195946",Tree Trim,75
"196117",Tree Removal,51
"195787",Tree Removal,51
"195613",Tree Removal,51
"196176",Tree Removal,51
"195911",Tree Removal,51
"195881",Tree Trim,75
"196152",Tree Trim,75
"196171",Tree Trim,75
"196175",Tree Removal,51
"196378",Tree Trim,75
"195863",Tree Trim,75
"196080",Tree Removal,51
"196179",Tree Removal,51
"196198",Tree Removal,51
"195777",Tree Removal,51
"196128",Tree Trim,75
"196008",Tree Trim,75
"195716",Tree Trim,75
"196172",Tree Trim,75
"196170",Tree Trim,75
"196034",Tree Trim,75
"195773",Tree Removal,51
"196235",Tree Removal,51
"196216",Tree Removal,51
"196053",Tree Removal,51
"196054",Tree Trim,75
,Tree Trim,
,Tree Removal,
"196789",Tree Removal,51
"195800",Tree Removal,51
"196227",Tree Removal,51
"196084",Tree Trim,75
"196139",Tree Trim,75
"196244",Tree Removal,51
"196191",Tree Trim,75
"196201",Tree Trim,75
"196226",Tree Removal,51
"196242",Tree Trim,75
"195623",Tree Removal,51
"195643",Tree Removal,51
"195649",Tree Trim,75
"196225",Tree Trim,75
"196251",Tree Trim,75
"195900",Tree Removal,51
"196261",Tree Removal,51
"196257",Tree Removal,51
"196262",Tree Removal,51
"196230",Tree Trim,75
"195923",Tree Trim,75
"196264",Tree Removal,51
"196260",Tree Removal,51
"196186",Tree Trim,75
"196278",Tree Trim,75
"196033",Tree Trim,75
"196040",Tree Trim,75
"196177",Tree Trim,75
"196167",Tree Trim,75
"195994",Tree Removal,51
"196071",Tree Removal,51
"196245",Tree Trim,75
"195996",Tree Trim,75
"196169",Tree Trim,75
"196097",Tree Trim,75
"196122",Tree Trim,75
"196134",Tree Trim,75
"196294",Tree Trim,75
"195823",Tree Trim,75
"196045",Tree Trim,75
"196358",Tree Removal,51
"196332",Tree Removal,51
"196236",Tree Removal,51
"196254",Tree Removal,51
"196024",Tree Trim,75
"195636",Tree Trim,75
"196138",Tree Trim,75
"195912",Tree Trim,75
"195910",Tree Trim,75
"196352",Tree Trim,75
"195633",Tree Removal,51
"195562",Tree Removal,51
"195578",Tree Trim,75
"196309",Tree Removal,51
"196247",Tree Removal,51
"196127",Tree Trim,75
"195551",Tree Removal,51
"194921",Tree Trim,75
"195632",Tree Trim,75
"196367",Tree Removal,51
"195795",Tree Removal,51
"196369",Tree Trim,75
"196364",Tree Removal,51
"196376",Tree Trim,75
"196394",Tree Removal,51
"196406",Tree Trim,75
"196387",Tree Removal,51
"196149",Tree Trim,75
"194985",Tree Trim,75
"195988",Tree Removal,51
"195985",Tree Trim,75
"196099",Tree Trim,75
"195718",Tree Trim,75
"196166",Tree Trim,75
"196209",Tree Trim,75
"196214",Tree Trim,75
"196213",Tree Trim,75
"196010",Tree Stump Grinding,116
"195627",Tree Trim,75
"196419",Tree Removal,51
"195393",Tree Trim,75
"196370",Tree Removal,52
"196420",Tree Removal,51
"196341",Tree Removal,51
"196439",Tree Removal,51
"196425",Tree Removal,51
"196472",Tree Trim,75
"196455",Tree Removal,51
"196412",Tree Trim,75
"195875",Tree Removal,51
"197372",Tree Trim,75
"196115",Tree Trim,75
"196196",Tree Trim,75
"196401",Tree Trim,75
"195876",Tree Trim,75
"196330",Tree Trim,75
"196356",Tree Trim,75
"196483",Tree Removal,51
"195753",Tree Removal,51
"196531",Tree Removal,51
"196433",Tree Stump Grinding,116
"196157",Tree Trim,75
"196077",Tree Removal,51
"195978",Tree Trim,75
"196039",Tree Trim,75
"196181",Tree Trim,75
"195878",Tree Trim,75
"196492",Tree Removal,51
"196491",Tree Removal,51
"196467",Tree Removal,51
"196521",Tree Trim,75
"196426",Tree Removal,51
"196525",Tree Trim,75
"196121",Tree Removal,51
,Tree Trim,
"196537",Tree Trim,75
"196541",Tree Removal,51
"196527",Tree Removal,51
"196550",Tree Trim,75
"196561",Tree Trim,75
"196478",Tree Removal,51
"196558",Tree Removal,51
"196575",Tree Trim,75
"196301",Tree Trim,75
"196590",Tree Trim,75
"196596",Tree Trim,75
"196468",Tree Removal,51
"196583",Tree Removal,51
"195832",Tree Trim,75
"199258",Tree Trim,75
"195544",Tree Trim,75
"196280",Tree Trim,75
"195653",Tree Trim,75
"196611",Tree Trim,75
"196598",Tree Removal,51
"196602",Tree Removal,51
"196564",Tree Trim,75
"196599",Tree Trim,75
"196612",Tree Trim,75
"196511",Tree Removal,51
"196559",Tree Trim,75
"196351",Tree Trim,75
"196365",Tree Trim,75
"195991",Tree Removal,51
"195506",Tree Removal,51
"196446",Tree Removal,51
"195699",Tree Trim,75
"196551",Tree Trim,75
"195816",Tree Trim,75
"195719",Tree Trim,75
"196474",Tree Trim,75
"196563",Tree Trim,75
"195785",Tree Removal,51
"196549",Tree Trim,75
"196031",Tree Trim,75
"196314",Tree Trim,75
"196624",Tree Removal,51
"196619",Tree Removal,51
"196637",Tree Trim,75
