sr#,problem_code,date_initiated,description,category,dispatch_to,address,zone,keymap,zip_code,status,initiated_date,initiated_time
177039,Tree Removal,2021-01-06 12:46 PM,Tree Removal Inspection,TREEMAINTENANCE,"UF - POLOVTSEV, SERA", 3400 BENFIELD DR&12934 WESTPARK DR,"2, ZONE",488Y,4855a,CLOSED,2021-01-06,12:46 PM
177041,Tree Trim,2021-01-06 01:14 PM,Tree Trim Inspection,TREEMAINTENANCE,"UF - JONES, CODY",2219  STONECREST ,"3, ZONE",452N,5259a,CLOSED,2021-01-06,01:14 PM
177045,Tree Removal,2021-01-06 01:32 PM,Tree Removal Inspection,TREEMAINTENANCE,"BLANCHETTE, PETER",10606  MEMBERS ,"6, ZONE",576S,5751a,CLOSED,2021-01-06,01:32 PM
177046,Tree Removal,2021-01-06 02:14 PM,Tree Removal Inspection,TREEMAINTENANCE,"BLANCHETTE, PETER",2103  FLAGSTONE ,"5, ZONE",536S,5754c,CLOSED,2021-01-06,02:14 PM
177047,Tree Removal,2021-01-06 02:14 PM,Tree Removal Inspection,TREEMAINTENANCE,"BLANCHETTE, PETER",1131  HAHLO ,"5, ZONE",494M,5558c,CLOSED,2021-01-06,02:14 PM
177048,Tree Trim,2021-01-06 02:17 PM,Tree Trim Inspection,TREEMAINTENANCE,"UF - POLOVTSEV, SERA",1524  RIDGEWOOD ,"2, ZONE",492R,5357c,CLOSED,2021-01-06,02:17 PM
177049,Tree Trim,2021-01-06 02:25 PM,Tree Trim Inspection,TREEMAINTENANCE,"UF - JONES, CODY",9603  KERRWOOD ,"3, ZONE",450P,5059a,CLOSED,2021-01-06,02:25 PM
177050,Tree Trim,2021-01-06 04:30 PM,Tree Trim Inspection,TREEMAINTENANCE,"UF - JONES, CODY", 2900 W 12TH ST&1200 ELLA BLVD,"3, ZONE",452X,5258a,CLOSED,2021-01-06,04:30 PM
177051,Tree Removal,2021-01-06 06:24 PM,Tree Removal Inspection,TREEMAINTENANCE,"UF - POLOVTSEV, SERA",7454 W FUQUA ,"7, ZONE",570Z,5050b,CLOSED,2021-01-06,06:24 PM
177052,Tree Removal,2021-01-07 05:21 AM,Tree Removal Inspection,TREEMAINTENANCE,"BLANCHETTE, PETER",7602  TREMPER ,"5, ZONE",495E,5558d,CLOSED,2021-01-07,05:21 AM
177053,Tree Removal,2021-01-07 07:55 AM,Tree Removal Inspection,TREEMAINTENANCE,"BLANCHETTE, PETER", 7500 CULLEN BLVD&4600 MAYFLOWER ST,"6, ZONE",533V,5454c,CLOSED,2021-01-07,07:55 AM
177055,Tree Trim,2021-01-07 11:24 AM,Tree Trim Inspection,TREEMAINTENANCE,"UF - POLOVTSEV, SERA",3208 S SHEPHERD ,"2, ZONE",492U,5356a,CLOSED,2021-01-07,11:24 AM
177056,Tree Trim,2021-01-07 12:35 PM,Tree Trim Inspection,TREEMAINTENANCE,"UF - POLOVTSEV, SERA",3112  MURWORTH ,"7, ZONE",532P,5254d,CLOSED,2021-01-07,12:35 PM
177058,Tree Trim,2021-01-07 01:19 PM,Tree Trim Inspection,TREEMAINTENANCE,"UF - JONES, CODY",7539  MAPLE TREE ,"3, ZONE",411U,5162d,CLOSED,2021-01-07,01:19 PM
177061,Tree Trim,2021-01-07 03:14 PM,Tree Trim Inspection,TREEMAINTENANCE,"UF - POLOVTSEV, SERA",1601  SHEARN ,"2, ZONE",493F,5358d,CLOSED,2021-01-07,03:14 PM
177063,Tree Trim,2021-01-07 04:01 PM,Tree Trim Inspection,TREEMAINTENANCE,"UF - JONES, CODY",16530  GLENVINE ,"4, ZONE",375J,5566d,CLOSED,2021-01-07,04:01 PM
177064,Tree Trim,2021-01-07 04:25 PM,Tree Trim Inspection,TREEMAINTENANCE,"UF - POLOVTSEV, SERA",5631  ANDERSON ,"7, ZONE",571U,5150b,CLOSED,2021-01-07,04:25 PM
177066,Tree Removal,2021-01-08 09:30 AM,Tree Removal Inspection,TREEMAINTENANCE,"BLANCHETTE, PETER",7618  NARCISSUS ,"5, ZONE",535F,5655c,CLOSED,2021-01-08,09:30 AM
177067,Tree Trim,2021-01-08 09:30 AM,Tree Trim Inspection,TREEMAINTENANCE,"BLANCHETTE, PETER", 10910 GULF FWY&9860 LEDGE ST,"6, ZONE",576J,5752a,CLOSED,2021-01-08,09:30 AM
177070,Tree Removal,2021-01-08 10:46 AM,Tree Removal Inspection,TREEMAINTENANCE,"BLANCHETTE, PETER",3300 LOVE PLZ,"4, ZONE",494B,77026,CLOSED,2021-01-08,10:46 AM
177072,Tree Removal,2021-01-08 12:11 PM,Tree Removal Inspection,TREEMAINTENANCE,"UF - POLOVTSEV, SERA",7102  THORNWILD ,"7, ZONE",571W,5150a,CLOSED,2021-01-08,12:11 PM
177078,Tree Trim,2021-01-10 05:22 AM,Tree Trim Inspection,TREEMAINTENANCE,"BLANCHETTE, PETER",6748  MEADOWLAWN ,"5, ZONE",534D,5556d,CLOSED,2021-01-10,05:22 AM
177079,Tree Removal,2021-01-10 09:22 AM,Tree Removal Inspection,TREEMAINTENANCE,"BLANCHETTE, PETER",2519  AUBURNDALE ,"6, ZONE",534G,5555a,CLOSED,2021-01-10,09:22 AM
177080,Tree Removal,2021-01-10 02:01 PM,Tree Removal Inspection,TREEMAINTENANCE,"UF - JONES, CODY",2303  LAKE VILLAGE ,"4, ZONE",336C,5769a,CLOSED,2021-01-10,02:01 PM
177081,Tree Removal,2021-01-11 06:32 AM,Tree Removal Inspection,TREEMAINTENANCE,"UF - JONES, CODY",3112  RUSSELL ,"4, ZONE",494B,5458b,CLOSED,2021-01-11,06:32 AM
177082,Tree Trim,2021-01-11 08:37 AM,Tree Trim Inspection,TREEMAINTENANCE,"UF - JONES, CODY",8923  SULTAN ,"4, ZONE",455H,5661d,CLOSED,2021-01-11,08:37 AM
177083,Tree Removal,2021-01-11 08:41 AM,Tree Removal Inspection,TREEMAINTENANCE,"UF - JONES, CODY",4005  TILSON ,"3, ZONE",450L,5060c,CLOSED,2021-01-11,08:41 AM
177084,Tree Removal,2021-01-11 09:47 AM,Tree Removal Inspection,TREEMAINTENANCE,"BLANCHETTE, PETER",7405  RED ROBIN ,"6, ZONE",575N,5651a,CLOSED,2021-01-11,09:47 AM
177095,Tree Removal,2021-01-11 10:32 AM,Tree Removal Inspection,TREEMAINTENANCE,"BLANCHETTE, PETER",15903  CLEARCREST ,"5, ZONE",618C,6050a,CLOSED,2021-01-11,10:32 AM
177101,Tree Trim,2021-01-11 01:46 PM,Tree Trim Inspection,TREEMAINTENANCE,"UF - POLOVTSEV, SERA",12711  ZAVALLA ,"7, ZONE",570R,5051b,CLOSED,2021-01-11,01:46 PM
177103,Tree Removal,2021-01-11 02:42 PM,Tree Removal Inspection,TREEMAINTENANCE,"UF - JONES, CODY",914 A  FISHER ,"3, ZONE",452L,5260d,CLOSED,2021-01-11,02:42 PM
177104,Tree Trim,2021-01-11 02:51 PM,Tree Trim Inspection,TREEMAINTENANCE,"UF - POLOVTSEV, SERA", 5830 ETTRICK DR&12200 RAMPART ST,"7, ZONE",571E,5152a,CLOSED,2021-01-11,02:51 PM
177106,Tree Removal,2021-01-11 03:43 PM,Tree Removal Inspection,TREEMAINTENANCE,"BLANCHETTE, PETER",4213  JUNE ,"4, ZONE",454F,5460b,CLOSED,2021-01-11,03:43 PM
177107,Tree Removal,2021-01-11 05:05 PM,Tree Removal Inspection,TREEMAINTENANCE,"UF - JONES, CODY",2100  JUDIWAY ,"3, ZONE",452N,5260c,CLOSED,2021-01-11,05:05 PM
177108,Tree Trim,2021-01-11 06:49 PM,Tree Trim Inspection,TREEMAINTENANCE,"UF - POLOVTSEV, SERA", 1300 ELDRIDGE PKWY&1100 PARKWAY PLAZA DR&13300 SANDBRIDGE DR,"2, ZONE",488K,4757d,CLOSED,2021-01-11,06:49 PM
177110,Tree Trim,2021-01-12 08:19 AM,Tree Trim Inspection,TREEMAINTENANCE,"BLANCHETTE, PETER",5307  KARCHER ,"4, ZONE",453U,5359b,CLOSED,2021-01-12,08:19 AM
177111,Tree Removal,2021-01-12 10:11 AM,Tree Removal Inspection,TREEMAINTENANCE,"BLANCHETTE, PETER",4548  BRICKER ,"6, ZONE",533V,5453a,CLOSED,2021-01-12,10:11 AM
