"workorderid","description","priority","status","submit_to","proj_start_date","proj_finish_date","actual_start","actual_finish","shop","map_page","address","location","category","date_initiated","project","total_cost","comments","zone","request_ids","resolution","sr_problem_code","sr_description","sr_priority","proj_difference","actual_difference","request_id1","request_id2","request_id3","request_id4","request_id5","request_id6","request_id7","request_id8","request_id9"
354970,TRIM BY CONTRACTOR,3,CLOSED,"UF, CONTRACTOR","2020-01-06 08:26:00","2020-02-05 08:26:00","2020-01-07 12:00:00","2020-01-10 12:00:00",I,"494Z","7011  CAPITOL ",Trim Arizona Ash on the Capital street Right-of-way of 211 S 70th street to clear streetlight obstruction.,TREEMAINTENANCE,"2020-01-06 08:26:00",FY20 - Tree Maintenance,115.0,inv 10148,"5, ZONE","169283","00 - Work completed.",Tree Trim,Tree Trim Inspection,0,30,3,"169283","","","","","","","",""
355421,TRIM BY CONTRACTOR,3,CLOSED,"UF, CONTRACTOR","2020-04-08 10:41:00","2020-05-08 10:41:00","2020-04-08 12:00:00","2020-04-15 12:00:00",D,"533G","3717  CHARLESTON ",Remove deadwood from a Cedar Elm.,TREEMAINTENANCE,"2020-04-08 10:41:00",FY20 - Tree Maintenance,105.0,invoice # 101180,"6, ZONE","170905","00 - Work completed.",Tree Removal,Tree Removal Inspection,0,30,7,"170905","","","","","","","",""
354971,TRIM BY CONTRACTOR,3,CLOSED,"UF, CONTRACTOR","2020-01-06 08:50:00","2020-02-05 08:50:00","2020-01-07 12:00:00","2020-01-13 12:00:00",D,"533T","7904 PARNELL ST",Trim the 40inches private oklv the 15inches private oklv and the 10inches oklv just to clear 14feet over the street ,TREEMAINTENANCE,"2020-01-06 08:50:00",FY20 - Tree Maintenance,288.0,inv10149,"6, ZONE","168954","00 - Work completed.",Tree Trim,Tree Trim Inspection,0,30,6,"168954","","","","","","","",""
354972,STUMP GRINDING BY CONTRACTOR,3,CLOSED,"UF, CONTRACTOR","2020-01-06 08:54:00","2021-01-05 08:54:00","2020-01-07 12:00:00","2020-01-11 12:00:00",I,"494V","7026  AVENUE E ",Stump grind 30+ inch Live Oak at 7026 Avenue E.,TREEMAINTENANCE,"2020-01-06 08:54:00",FY20 - Tree Maintenance,147.0,inv 10148,"5, ZONE","169032","00 - Work completed.",Tree Stump Grinding,Tree Stump Inspection,0,365,4,"169032","","","","","","","",""
355622,TRIM BY CONTRACTOR,3,CLOSED,"UF, CONTRACTOR","2020-04-24 10:30:00","2020-05-24 10:30:00","2020-04-24 12:00:00","2020-04-30 12:00:00",I,"535N","7350  THUROW ",Prune deadwood and balance crown.,TREEMAINTENANCE,"2020-04-24 10:30:00",FY20 - Tree Maintenance,105.0,inv 101771,"6, ZONE","171609","00 - Work completed.",Tree Removal,Tree Removal Inspection,1,30,6,"171609","","","","","","","",""
354973,TRIM BY CONTRACTOR,3,CLOSED,"UF, CONTRACTOR","2020-01-06 10:01:00","2020-02-05 10:01:00","2020-01-07 12:00:00","2020-01-13 12:00:00",D,"493U","2200 CAROLINE ST",Trim the trees on caroline there is three 15 inches and six 10inches okla ,TREEMAINTENANCE,"2020-01-06 10:01:00",FY20 - Tree Maintenance,693.0,inv 10148,"2, ZONE","169157","00 - Work completed.",Tree Trim,Tree Trim Inspection,0,30,6,"169157","","","","","","","",""
354974,TRIM BY IN-HOUSE,2,CLOSED,"UF, IN-HOUSE","2020-01-06 10:23:00","2020-01-16 10:23:00","2020-01-06 10:23:00","2020-01-27 12:00:00",I,"493Q","808 PEASE ST",Trim the 20inches oklv to clear the parking sign on the northwest corner of Pease and Travis ,TREEMAINTENANCE,"2020-01-06 10:23:00","",89.0,printed,"1, ZONE","169072","00 - Work completed.",Tree Trim,Tree Trim Inspection,0,10,21,"169072","","","","","","","",""
363925,TRIM BY CONTRACTOR,3,CLOSED,"UF, CONTRACTOR","2022-05-04 15:55:00","2022-06-03 15:55:00","2022-08-05 12:00:00","2022-08-30 12:00:00",H,"454N","2304 LINDER ST",Trim tree to clear street light.,TREEMAINTENANCE,"2022-05-04 15:55:00",FY23 - Tree Maintenance,73.0,Invoice #131636.,"4, ZONE","186930","00 - Work completed.",Tree Trim,Tree Trim Inspection,3,30,25,"186930","","","","","","","",""
354975,TRIM BY CONTRACTOR,3,CLOSED,"UF, CONTRACTOR","2020-01-06 10:29:00","2020-02-05 10:29:00","2020-01-07 12:00:00","2020-01-13 12:00:00",H,"494M","1123  ROUSE ",Trim private Chinese Tallow to clear streetlight obstruction and 14ft over street and 8ft over sidewalk.,TREEMAINTENANCE,"2020-01-06 10:29:00",FY20 - Tree Maintenance,105.0,inv 10148,"5, ZONE","169134","00 - Work completed.",Tree Trim,Tree Trim Inspection,0,30,6,"169134","","","","","","","",""
355717,TRIM BY CONTRACTOR,3,CLOSED,"UF, CONTRACTOR","2020-05-04 09:21:00","2020-06-03 09:21:00","2020-05-04 12:00:00","2020-07-17 12:00:00",C,"453S","407 E 25TH ",Prune deadwood from >45 dbh American sycamore.,TREEMAINTENANCE,"2020-05-04 09:21:00",FY20 - Tree Maintenance,136.0,inv 104565,"3, ZONE","171766","00 - Work completed.",Tree Removal,Tree Removal Inspection,0,30,74,"171766","","","","","","","",""
355992,TRIM BY CONTRACTOR,3,CLOSED,"UF, CONTRACTOR","2020-05-26 09:31:00","2020-06-25 09:31:00","2020-05-26 12:00:00","2020-06-17 12:00:00",D,"493U","1704 STUART ST HOUSTON TX","behind the address, prune two trees to roof clearance ",TREEMAINTENANCE,"2020-05-26 09:31:00",FY20 - Tree Maintenance,220.0,inv 103920.,"2, ZONE","171987","00 - Work completed.",Tree Trim,Tree Trim Inspection,0,30,22,"171987","","","","","","","",""
354976,TRIM BY CONTRACTOR,3,CLOSED,"UF, CONTRACTOR","2020-01-06 11:36:00","2020-02-05 11:36:00","2020-01-07 12:00:00","2020-01-10 12:00:00",H,"495A", 7300 LAREDO ST&432 PORT ST," Trim 40"" Live Oak to clear stop sign obstruction and raise 14ft over street and 8ft over sidewalk.",TREEMAINTENANCE,"2020-01-06 11:36:00",FY20 - Tree Maintenance,131.0,inv 10148,"4, ZONE","168859","00 - Work completed.",Tree Trim,Tree Trim Inspection,0,30,3,"168859","","","","","","","",""
354977,TRIM BY CONTRACTOR,3,CLOSED,"UF, CONTRACTOR","2020-01-06 12:20:00","2020-02-05 12:20:00","2020-01-07 12:00:00","2020-01-13 12:00:00",B,"415N","6302  MICOLLET ","Clear streetlight obstruction by trimming a 32"" Water Oak on the Lear Right-of-way of 6302 Micollet.",TREEMAINTENANCE,"2020-01-06 12:20:00",FY20 - Tree Maintenance,105.0,inv 10148,"4, ZONE","168921","00 - Work completed.",Tree Trim,Tree Trim Inspection,0,30,6,"168921","","","","","","","",""
