SR#,Problem Code,Date Initiated,Description,Category,Dispatch To,Address,Zone,Keymap,Zip Code,Status
169937,Tree Trim,2020-01-01 12:29 PM,Tree Trim Inspection,TREEMAINTENANCE,"PATINO, ARNULFO",700 W DREW ST,"2, ZONE",493N,77006,CLOSED
169938,Tree Removal,2020-01-02 12:10 AM,Tree Removal Inspection,TREEMAINTENANCE,"PATINO, ARNULFO",5803 CHEENA DR,"7, ZONE",531S,77096,CLOSED
169940,Tree Trim,2020-01-02 08:54 AM,Tree Trim Inspection,TREEMAINTENANCE,"BLANCHETTE, PETER",1709  MARSHALL ,"2, ZONE",492V,5356a,CLOSED
169942,Tree Removal,2020-01-02 10:46 AM,Tree Removal Inspection,TREEMAINTENANCE,"PATINO, ARNULFO",425 HEIGHTS BLVD,"3, ZONE",493E,77007,CLOSED
169943,Tree Trim,2020-01-02 11:01 AM,Tree Trim Inspection,TREEMAINTENANCE,"BLANCHETTE, PETER",10119  GLENMAWR ,"6, ZONE",576S,5751a,CLOSED
169946,Tree Trim,2020-01-02 02:46 PM,Tree Trim Inspection,TREEMAINTENANCE,"UF - JONES, CODY",2513  JUDIWAY ,"3, ZONE",452N,5260c,CLOSED
169947,Tree Trim,2020-01-02 03:57 PM,Tree Trim Inspection,TREEMAINTENANCE,"UF - JONES, CODY",1300  WAVERLY & 700 W 13TH ,"3, ZONE",452Z,5359c,CLOSED
169948,Tree Stump Grinding,2020-01-02 05:02 PM,Tree Stump Inspection,TREEMAINTENANCE,"BLANCHETTE, PETER",804 W MAIN ,"2, ZONE",493S,5356b,CLOSED
169951,Tree Trim,2020-01-03 07:52 AM,Tree Trim Inspection,TREEMAINTENANCE,"PATINO, ARNULFO",BRIAR FOREST DR & RIVERVIEW DR,"2, ZONE",489N,77077,CLOSED
169956,Tree Trim,2020-01-03 09:51 AM,Tree Trim Inspection,TREEMAINTENANCE,"PATINO, ARNULFO",2415 DUNLAVY ST,"2, ZONE",492V,77006,CLOSED
169958,Tree Removal,2020-01-03 11:29 AM,Tree Removal Inspection,TREEMAINTENANCE,"PATINO, ARNULFO",11127 WINDMARK DR,"2, ZONE",529X,77099,CLOSED
169959,Tree Removal,2020-01-03 11:34 AM,Tree Removal Inspection,TREEMAINTENANCE,"PATINO, ARNULFO",3014 CHENEVERT ST,"2, ZONE",493U,77004,CLOSED
169960,Tree Trim,2020-01-03 12:50 PM,Tree Trim Inspection,TREEMAINTENANCE,"BLANCHETTE, PETER",6531  AVENUE C ,"5, ZONE",494V,5556a,CLOSED
169961,Tree Removal,2020-01-03 02:19 PM,Tree Removal Inspection,TREEMAINTENANCE,"PATINO, ARNULFO",4823 CHANTILLY LN,"3, ZONE",451L,77092,CLOSED
169962,Tree Removal,2020-01-03 02:46 PM,Tree Removal Inspection,TREEMAINTENANCE,"PATINO, ARNULFO",8507 ROCKMONT CT,"7, ZONE",610G,77489,CLOSED
169963,Tree Trim,2020-01-04 12:42 PM,Tree Trim Inspection,TREEMAINTENANCE,"BLANCHETTE, PETER",1355 W GRAY ,"2, ZONE",493N,5357c,CLOSED
169964,Tree Trim,2020-01-04 12:44 PM,Tree Trim Inspection,TREEMAINTENANCE,"BLANCHETTE, PETER",1135 W GRAY ,"2, ZONE",493N,5357c,CLOSED
169965,Tree Removal,2020-01-04 01:45 PM,Tree Removal Inspection,TREEMAINTENANCE,"BLANCHETTE, PETER",8317  BRANIFF ,"6, ZONE",575L,5652c,CLOSED
169966,Tree Removal,2020-01-04 02:10 PM,Tree Removal Inspection,TREEMAINTENANCE,"PATINO, ARNULFO",4038 OSBY DR,"7, ZONE",532S,77025,CLOSED
169967,Tree Removal,2020-01-04 03:19 PM,Tree Removal Inspection,TREEMAINTENANCE,"BLANCHETTE, PETER",8202  CONCORD ,"5, ZONE",535K,5655c,CLOSED
169969,Tree Trim,2020-01-06 07:26 AM,Tree Trim Inspection,TREEMAINTENANCE,"BLANCHETTE, PETER",6318  HAMBLEN ,"4, ZONE",375W,5564b,CLOSED
169970,Tree Trim,2020-01-06 08:55 AM,Tree Trim Inspection,TREEMAINTENANCE,"BLANCHETTE, PETER", 1300 CULLEN BLVD & 4100 POLK ST,"5, ZONE",494S,5456b,CLOSED
169971,Tree Trim,2020-01-06 09:10 AM,Tree Trim Inspection,TREEMAINTENANCE,"UF - JONES, CODY", 2100 DU BARRY LN & 2000 EBONY LN,"3, ZONE",452N,5260c,CLOSED
169972,Tree Trim,2020-01-06 09:32 AM,Tree Trim Inspection,TREEMAINTENANCE,"UF - JONES, CODY",1550  DIPLOMAT ,"3, ZONE",412P,5262a,CLOSED
169973,Tree Removal,2020-01-06 09:49 AM,Tree Removal Inspection,TREEMAINTENANCE,"PATINO, ARNULFO",5602 HAZEN ST,"7, ZONE",531J,77081,CLOSED
169974,Tree Trim,2020-01-06 10:16 AM,Tree Trim Inspection,TREEMAINTENANCE,"BLANCHETTE, PETER",3806  KASHMERE ,"4, ZONE",454X,5559c,CLOSED
